序號,股票代號,CB代號,名稱,信用評等,擔保,發行規模,轉換價格,發行年期,詢圈競拍,發行券商,產業分類,產業地位,股本大小,發行價格,到期還本價格,訂價溢價率,掛牌日期,到期日期,掛牌最高,掛牌最低
892,3483,34834,力致四,6,無擔保,2.0,168.0,3.0,競拍,永豐金證,電腦及週邊設備業,具風扇及熱導管自製能力的散熱廠商,8.29,118.57,100.0,1.0489,2024-05-22,2027/05/22,154.0,100.25
893,3484,34841,崧騰一,5,無擔保,2.01,37.0,3.0,詢圈,凱基證券,電子零組件業,全球知名工具機開關領導廠商,7.55,100.3,100.0,1.0137,2014-10-23,2017/10/23,210.0,95.5
894,3484,34842,崧騰二,5,無擔保,3.0,75.2,3.0,詢圈,玉山證券,電子零組件業,全球知名工具機開關領導廠商,7.55,102.0,100.0,1.1,2021-02-05,2024/02/05,135.0,99.3
895,3484,34843,崧騰三,5,無擔保,4.0,48.1,5.0,詢圈,凱基證券,電子零組件業,全球知名工具機開關領導廠商,7.55,100.5,100.0,1.06,2023-04-24,2028/04/24,160.0,105.5
896,3489,34891,森寶一,合庫銀行,有擔保,1.0,13.85,3.0,競拍,合庫證券,建材營造業,森聯旗下，房地產開發商,9.05,107.48,100.0,1.14,2020-12-14,2023/12/14,120.0,100.0
897,3490,34901,單井一,玉山銀行,有擔保,3.0,17.27,3.0,詢圈,永豐金證,光電業,LED及半導體封裝模具及設備供應商,5.5,,,1.01,2013-04-23,2016/04/13,172.0,131.0
898,3491,34911,昇達科一,0,,3.0,50.5,3.0,詢圈,,通信網路業,台灣微波及毫米波元件廠商,,,,,2010-10-22,2013/10/22,142.6,103.2
899,3491,34912,昇達科二,5,無擔保,10.0,305.3,5.0,競拍,凱基證券,通信網路業,台灣微波及毫米波元件廠商,6.38,118.03,100.0,1.0601,2024-08-28,2029/08/28,171.0,110.75
900,3494,34941,誠研一,6,無擔保,5.0,31.2,5.0,詢圈,富邦證券,電腦及週邊設備業,熱昇華式數位相片印表機供應商,14.4,100.0,100.0,1.05,2011-06-21,2016/06/10,144.5,83.4
901,3499,34991,環天一,0,,2.5,44.4,5.0,詢圈,,通信網路業,台灣GPS相關應用製造業者,,,,,2007-05-11,2012/05/11,144.0,71.0
902,3499,34992,環天二,0,,3.0,28.0,3.0,詢圈,,通信網路業,台灣GPS相關應用製造業者,,,,,2010-12-25,2013/12/25,110.0,88.5
903,3512,35121,皇龍一,第一銀行,有擔保,4.0,39.0,3.0,競拍,台新證券,建材營造業,從事營建事業及散熱片設計製造,8.4,112.04,100.0,1.04,2021-05-17,2024/05/17,128.0,99.35
904,3514,35141,昱晶一,,,,,,詢圈,0,,,,,,0.0,,,127.0,85.95
905,3514,35142,昱晶二,,,,,,詢圈,0,,,,,,0.0,,,145.5,100.0
906,3516,35161,亞帝歐一,永豐銀行,有擔保,3.5,26.7,3.0,競拍,富邦證券,光電業,台灣連接線材及LED照明廠商,5.26,109.62,100.0,1.0322,2024-10-18,2027/10/18,120.1,101.6
907,3518,35181,柏騰一,台新銀行,有擔保,3.0,35.0,3.0,競拍,台新證券,其他業電子業,為台灣第一家具備低溫真空濺鍍之專業廠商,9.6,118.63,100.0,1.0792,2024-08-15,2027/08/15,129.5,98.0
908,3519,35191,綠能一,0,,15.0,87.2,5.0,詢圈,,,,,,,,2008-10-14,2013/10/14,198.0,80.5
