序號,開標日期,股票代號,CB代號,名稱,股本,發行規模,年期,擔保,信用評等,競拍張數,底標價,截標日,截標收盤,轉換價,訂價溢價率,理論價,最低得標,最低溢價,平均得標,平均溢價,發行券商,產業分類,合格件數,投標張數,投標倍數,投標均張,投標開始日,最高投(得)標數量(張),撥券日,得標總金額,得標手續費率(%),最高得標價格(元),承銷價格(元)
156,2023-09-26,5209,52091,新鼎一,2.7,3.0,3,無擔保,5,2677,102.0,2023-09-22,172.0,177.0,1.023,97.18,108.43,0.1158,109.46,0.1264,凱基證券,其他業,631,17316,6.47,27.44,2023-09-20,267.0,2023-10-06,293026870.0,0.5,112.5,109.46
157,2023-10-11,8442,84422,威宏二KY,6.0,4.0,3,有擔保,6,3415,102.0,2023-10-05,85.1,84.3,1.02,100.95,110.44,0.094,111.6,0.1055,富邦證券,其他業,499,13972,4.09,28.0,2023-09-28,341.0,2023-10-19,381125480.0,0.5,115.5,111.6
158,2023-10-17,6585,65851,鼎基一,6.9,5.0,3,有擔保,6,4350,102.0,2023-10-13,118.0,120.9,1.05,97.6,110.69,0.1341,111.96,0.1471,第一金證,其他業,487,13122,3.02,26.94,2023-10-11,435.0,2023-10-26,487025980.0,0.5,120.56,111.96
159,2023-10-18,3006,30061,晶豪科一,28.6,10.0,3,無擔保,5,8500,101.0,2023-10-16,93.9,85.6,1.025,109.7,113.88,0.0381,115.42,0.0522,凱基證券,半導體業,1008,36256,4.27,35.97,2023-10-12,850.0,2023-10-27,981040090.0,0.5,121.7,115.42
160,2023-10-30,5306,53064,桂盟四,12.6,10.0,3,有擔保,4,8520,100.0,2023-10-26,126.5,130.5,1.024,96.93,106.3,0.0966,108.44,0.1187,凱基證券,運動休閒,503,21802,2.56,43.34,2023-10-24,852.0,2023-11-08,923929400.0,0.5,131.0,108.44
161,2023-11-01,2063,20632,世鎧二,5.0,6.0,3,無擔保,5,5400,100.5,2023-10-30,43.9,55.0,1.058,79.82,105.15,0.3174,107.32,0.3446,富邦證券,鋼鐵工業,292,9868,1.83,33.79,2023-10-26,540.0,2023-11-10,579547930.0,0.5,111.38,107.32
162,2023-11-07,3013,30133,晟銘電三,15.6,4.0,3,有擔保,7,3400,101.0,2023-11-03,43.8,43.5,1.02,100.69,112.23,0.1146,112.3,0.1153,中信證券,電腦及週邊設備業,410,13088,3.85,31.92,2023-11-01,340.0,2023-11-16,381809530.0,1.0,118.0,112.3
163,2023-11-13,6806,68061,森崴一,21.6,30.0,3,有擔保,9,28350,100.0,2023-11-09,108.5,114.0,1.096,95.18,102.9,0.0812,105.76,0.1112,福邦證券,綠能環保,917,45146,1.59,49.23,2023-11-07,2835.0,2023-11-22,2998205890.0,0.5,115.5,105.76
164,2023-11-16,4566,45663,時碩三,8.2,8.0,3,無擔保,5,6935,100.0,2023-11-14,51.5,52.0,1.027,99.04,104.21,0.0522,106.15,0.0718,凱基證券,電機機械,513,17407,2.51,33.93,2023-11-10,693.0,2023-11-27,736158820.0,0.5,122.0,106.15
165,2023-11-21,6126,61263,信音三,11.7,5.0,3,無擔保,6,4750,100.0,2023-11-17,27.7,28.0,1.038,98.93,102.6,0.0371,104.18,0.0531,元大證券,電子零組件業,257,6743,1.42,26.24,2023-11-15,475.0,2023-11-30,494875580.0,0.5,107.0,104.18
